O,D,Bike_time,Bike_dist
4,23,457.08,2.29
4,24,1074.62,5.27
4,25,939.93,4.7
4,26,1393.33,6.97
4,27,1161.89,5.7
4,28,602.69,3.01
4,29,2207.34,10.9
4,30,733.7,3.67
4,31,1062.86,5.31
4,32,2788.5,13.9
4,33,2610.28,13.02
4,34,2591.69,12.78
4,35,3171.5,15.67
4,36,1538.62,7.12
4,37,837.39,4.04
4,38,1726.05,8.61
4,39,2996.71,14.86
4,40,4381.67,21.19
4,41,3717.53,18.57
4,42,2636.64,13.16
4,43,2958.78,14.53
4,44,5432.83,26.99
4,45,2457.82,12.13
4,46,2897.33,14.37
4,47,3554.07,17.57
4,48,2613.98,13.06
4,49,2605.43,13.02
4,50,3161.19,15.32
4,51,3126.4,15.48
4,52,2623.69,13.05
4,53,4547.12,22.31
4,54,3695.02,18.41
4,55,3258.67,16.27
4,56,1614.79,8.06
4,57,2129.25,10.6
4,58,2264.74,11.32
4,59,2501.39,12.5
4,60,1866.5,9.31
4,61,2755.81,13.62
4,62,3151.97,15.76
4,63,3237.21,16.1
4,64,3819.31,18.99
4,65,3984.97,19.59
4,66,1505.36,7.53
4,67,2425.76,11.89
4,68,2836.03,13.93
4,69,1805.91,8.87
4,70,2085.62,9.8
4,71,2644.15,13.18
4,72,3250.68,16.05
4,73,1583.37,7.92
4,74,2514.3,12.57
4,75,3697.02,18.15
4,76,3367.81,16.83
4,77,3750.62,18.59
4,78,3051.18,15.02
4,79,2044.25,10.13
4,80,2845.53,14.18
4,81,2967.97,14.81
4,82,2132.31,10.54
4,83,1150.54,5.75
4,84,920.36,4.6
4,85,1231.31,6.13
4,86,728.2,3.46
4,87,988.74,4.94
4,88,3713.02,18.5
4,89,3070.32,15.25
4,90,2289.41,11.43
4,91,2242.89,10.56
4,92,1290.74,6.45
4,93,1289.97,6.45
4,94,1786.74,8.93
4,95,1342.71,6.71
4,96,1920.08,9.59
4,97,3201.78,15.85
4,98,3525.9,17.47
4,99,1826.87,9.13
4,100,1207.4,6.03
4,101,3775.08,18.7
4,102,4670.44,22.71
4,103,2209.51,10.78
4,104,1936.04,9.61
4,105,2924.08,14.41
4,106,2498.62,12.01
4,107,3973.53,17.85
4,108,2431.04,12.14
4,109,1659.17,8.3
4,110,2537,12.52
4,111,1966.42,9.83
4,112,2909.73,14.52
4,113,4656.83,22.09
4,114,2182.03,10.89
5,1,763.26,3.69
5,2,3183.74,15.74
5,3,1158.07,5.62
5,4,430.28,2.03
5,5,0,0
5,6,3179.29,15.55
5,7,1022.39,4.99
5,8,2917.09,14.2
5,9,1584.27,7.8
5,10,2217.26,10.92
5,11,1650.66,7.49
5,12,1698.03,8.08
5,13,1408.66,6.87
5,14,3930.01,19.29
5,15,3480.26,17.2
5,16,2448.78,11.85
5,17,2191.81,10.84
5,18,1802.55,8.88
5,19,2497.83,12.24
5,20,1091.48,5.33
5,21,3633.82,17.96
5,22,2976.85,14.7
5,23,556.67,2.66
5,24,1462.78,7.09
5,25,1039.52,5.07
5,26,1163.89,5.61
5,27,1609.54,7.85
5,28,709.79,3.42
5,29,2314.44,11.31
5,30,504.25,2.32
5,31,1055.41,5.07
5,32,2895.6,14.31
5,33,2866.28,14.19
5,34,2847.68,13.95
5,35,3427.49,16.84
5,36,1926.78,8.93
5,37,1225.56,5.86
5,38,2114.21,10.43
5,39,2865.09,14
5,40,4152.23,19.84
5,41,3973.52,19.73
5,42,2892.64,14.33
5,43,3346.94,16.35
5,44,5428.72,26.8
5,45,2698.6,13.31
5,46,2765.71,13.5
5,47,3422.45,16.71
5,48,2384.53,11.71
5,49,2375.99,11.66
5,50,2931.75,13.96
5,51,2896.95,14.13
5,52,2730.79,13.46
5,53,4751.22,23.24
5,54,3951.02,19.57
5,55,3514.66,17.43
5,56,1958.49,9.67
5,57,2517.41,12.41
5,58,2035.3,9.97
5,59,2271.95,11.14
5,60,2122.49,10.47
5,61,2996.59,14.8
5,62,3270.36,16.23
5,63,3355.61,16.56
5,64,3589.86,17.64
5,65,3755.52,18.24
5,66,1612.46,7.94
5,67,2666.53,13.07
5,68,3076.81,15.11
5,69,2046.69,10.05
5,70,2326.4,10.98
5,71,2762.54,13.64
5,72,3132.3,15.14
5,73,1451.75,7.05
5,74,2543.75,12.34
5,75,3467.57,16.8
5,76,3138.36,15.48
5,77,3521.17,17.23
5,78,3169.58,15.48
5,79,2162.64,10.6
5,80,3233.69,16
5,81,3356.13,16.62
5,82,2388.3,11.71
