O,D,Car_time,Car_dist
4,81,1356.71,15.23
4,82,906.07,10.79
4,83,639.06,6.29
4,84,502.28,4.47
4,85,676.12,7.16
4,86,438.92,4.39
4,87,566.55,5.35
4,88,1295.48,17.25
4,89,1279.36,15.51
4,90,999.41,9.73
4,91,1003.23,10.67
4,92,712.41,7.04
4,93,722.66,6.57
4,94,859.51,9.54
4,95,718.01,7.43
4,96,920.32,9.9
4,97,1216.29,16.01
4,98,1225.34,17.67
4,99,1044.67,10.88
4,100,586.74,5.6
4,101,1412.47,18.4
4,102,1702.63,21.73
4,103,1020.59,10.64
4,104,987.07,9.42
4,105,1231.49,13.84
4,106,1073.85,12.16
4,107,1321.36,13.27
4,108,1096.5,11.23
4,109,859.44,9.9
4,110,1247.94,12.83
4,111,1067.14,11.87
4,112,1119.97,14.99
4,113,1945.2,23.12
4,114,995.02,10.76
5,1,524.88,3.81
5,2,1306.14,15.57
5,3,633.57,4.64
5,4,325.08,2.18
5,5,0,0
5,6,1295.36,15.93
5,7,607.77,5.15
5,8,1285.67,14.14
5,9,749.5,7.5
5,10,1208.61,12.36
5,11,834.32,7.4
5,12,871.45,7.89
5,13,760.61,6.39
5,14,1528.49,18.86
5,15,1171.29,16.7
5,16,1115.18,12.27
5,17,960.59,10.6
5,18,815.5,8.55
5,19,1490.73,11.86
5,20,786.63,6.53
5,21,1426.41,17.75
5,22,1248.38,14.63
5,23,361.44,2.7
5,24,738.83,6.72
5,25,611.84,4.8
5,26,719.08,6.1
5,27,628.69,6.25
5,28,504.3,3.45
5,29,1123.14,11.98
5,30,316.75,2.42
5,31,647.08,5.92
5,32,1086.95,13.64
5,33,1114.75,13.37
5,34,1065.44,13.69
5,35,1454.65,17.21
5,36,978.28,8.35
5,37,705.93,6.02
5,38,1013.5,10.75
5,39,1614.82,17.31
5,40,1690.31,19.82
5,41,1325.28,19.12
5,42,999.43,12.93
5,43,1539.21,16.13
5,44,1946.18,24.84
5,45,1218.8,12.56
5,46,1621.22,16.45
5,47,1520.33,17.81
5,48,1238.79,12.21
5,49,1370.56,12.6
5,50,1746.19,15.2
