O,D,Walk_time,Walk_dist
4,66,4384.98,6.09
4,67,7857.27,10.91
4,68,8983.15,12.48
4,69,5622.54,7.81
4,70,6102.28,8.48
4,71,9480.66,13.17
4,72,10876.12,15.11
4,73,5601.23,7.78
4,74,8914.82,12.38
4,75,12219.83,16.97
4,76,12201.66,16.95
4,77,13522.36,18.78
4,78,10478.81,14.55
4,79,6904.2,9.59
4,80,9939.1,13.8
4,81,10467.67,14.54
4,82,7197.13,10
4,83,4405.72,6.12
4,84,3199.46,4.44
4,85,4197.43,5.83
4,86,1905.34,2.65
4,87,3055.24,4.24
4,88,13223.36,18.37
4,89,10590.9,14.71
4,90,7482.38,10.39
4,91,7324.89,10.17
4,92,4349.12,6.04
4,93,4876.45,6.77
4,94,5943.48,8.25
4,95,4419.86,6.14
4,96,6242.67,8.67
4,97,11079.07,15.39
4,98,11807.25,16.4
4,99,6637.52,9.22
4,100,3620.14,5.03
4,101,13262.03,18.42
4,102,15390.61,21.38
4,103,7183.51,9.98
4,104,6074.71,8.44
4,105,8837.2,12.27
4,106,8725.57,12.12
4,107,11918.9,16.55
4,108,7808.45,10.85
4,109,5968.89,8.29
4,110,8690.63,12.07
4,111,6508.08,9.04
4,112,10113.96,14.05
4,113,15686.28,21.79
4,114,7752.83,10.77
5,1,2595.37,3.6
5,2,10924.89,15.17
5,3,2944.05,4.09
5,4,1263.02,1.75
5,5,0,0
5,6,10505.15,14.59
5,7,3503.7,4.87
5,8,9477.48,13.16
5,9,5454.98,7.58
5,10,6861.47,9.53
5,11,5305.48,7.37
5,12,5780.48,8.03
5,13,4345.31,6.04
5,14,12740.07,17.69
5,15,11683.47,16.23
5,16,8822.93,12.25
5,17,7551.09,10.49
5,18,5959.43,8.28
5,19,9832.72,13.66
5,20,4033.63,5.6
5,21,12522.74,17.39
5,22,10205.82,14.17
5,23,1741.8,2.42
5,24,4171.74,5.79
5,25,2566.23,3.56
5,26,4226.71,5.87
5,27,4405.22,6.12
5,28,2770.5,3.85
5,29,7671.86,10.66
5,30,1502.72,2.09
5,31,3776.54,5.25
5,32,10121.37,14.06
5,33,9590.28,13.32
5,34,8965.75,12.45
5,35,11608.12,16.12
5,36,5530.96,7.68
5,37,4122.13,5.73
5,38,7098.31,9.86
5,39,10240.76,14.22
5,40,13938.02,19.36
5,41,13517.96,18.78
5,42,9440.25,13.11
5,43,11646.43,16.18
5,44,18494.09,25.69
5,45,8924.54,12.4
5,46,9882.23,13.73
5,47,10116.26,14.05
5,48,8317.56,11.55
5,49,8780.57,12.2
5,50,9689.56,13.46
5,51,9415.79,13.08
5,52,9641.37,13.39
