O,D,str.dist,Bike_ta,Bike_da,Walk_ta,Walk_da,Car_ta,Car_da,Bike_dr,Walk_dr,Car_dr
1,110,11.29373938,2888.74,14.27,10136.38,14.08,1279.33,13.04,1.263531903,1.246708422,1.154622005
1,111,9.424845305,2318.16,11.58,7953.83,11.05,1098.54,12.08,1.228667381,1.172433037,1.28171865
1,112,12.65387311,3261.47,16.27,11269.88,15.65,1151.37,15.2,1.285772337,1.236775481,1.201213247
1,113,18.62501255,5008.78,23.85,17132.03,23.79,2024.64,24.9,1.28053605,1.277314575,1.336911851
1,114,9.982813298,2533.77,12.64,8908.75,12.37,1026.42,10.97,1.266176139,1.239129655,1.098888627
2,1,11.7385978,3110.37,15.48,10606.95,14.73,1265.33,16.21,1.318726501,1.254834713,1.380914507
2,2,0,0,0,0,0,0,0,NA,NA,NA
2,3,9.879758958,2718.37,13.5,8840.14,12.28,1056.94,13.12,1.366430098,1.242945304,1.327967621
2,4,11.63138983,3226.87,16.06,10106.58,14.04,1111.14,14.34,1.380746431,1.207078449,1.232870724
2,5,12.61814598,3519.38,17.36,10924.89,15.17,1218.24,15.35,1.375796415,1.202236844,1.216502015
2,6,1.941299289,517.38,2.38,1959.7,2.72,264.35,3.5,1.225983038,1.401123472,1.802916232
2,7,9.227817271,2450.82,12.17,8135.42,11.3,831.63,11.58,1.318838426,1.224558275,1.254901312
2,8,5.83684061,1566.45,7.79,5473.35,7.6,973.74,10.35,1.334626131,1.302074274,1.773219571
2,9,11.64217945,3445.31,17.15,11165.85,15.51,1439.51,17.11,1.473091879,1.332224784,1.469656096
2,10,7.005282949,1938.79,9.69,6286.1,8.73,979.41,9.93,1.383241772,1.24620234,1.41750163
2,11,10.64981991,3350.65,16.06,10896.79,15.13,1303.64,15.61,1.50800672,1.4206813,1.465752485
2,12,8.955135127,2657.55,13.11,8773.92,12.19,1273.43,14.43,1.463964509,1.361230158,1.61136597
2,13,14.95661786,4028.39,20.02,13713.2,19.05,1712.08,21.36,1.338537909,1.273683675,1.428130357
2,14,16.05212397,4262.41,21.07,14868.29,20.65,1883.06,20.5,1.312598883,1.286434121,1.277089563
2,15,11.95309718,3539.82,17.66,12101.86,16.81,1589.34,19.29,1.477441348,1.406330071,1.613807678
2,16,17.02447097,4680.52,23.05,15416.71,21.41,1991.66,22.9,1.353933408,1.257601487,1.345122562
2,17,16.08966385,4318.71,21.51,14379.83,19.97,1857.23,24.13,1.336883119,1.241169498,1.49972058
2,18,13.29156995,3782.87,18.88,12369.43,17.18,1712.14,22.08,1.420449208,1.29254859,1.661203311
2,19,17.95205289,5117.57,25.39,19239.72,26.72,2442.2,26.83,1.414322927,1.488409162,1.494536595
